date,Iraq,Baghdad,Egypt,Cairo,Libya,Tripoli,Jordan,Amman,Bahrain,Manama,Syria,Damascus,Saudi Arabia,Riyadh
2013-09-15,5.0,0.0,49.0,21.0,7.0,7.0,3.0,3.0,2.0,1.0,7.0,3.0,5.0,0.0
2013-09-22,4.0,0.0,71.0,26.0,5.0,2.0,2.0,1.0,4.0,2.0,7.0,4.0,1.0,0.0
2013-09-29,8.0,1.0,76.0,41.0,1.0,1.0,5.0,1.0,28.0,22.0,11.0,4.0,2.0,0.0
2013-10-06,8.0,1.0,186.0,132.0,10.0,9.0,9.0,6.0,2.0,1.0,9.0,4.0,0.0,0.0
2013-10-13,3.0,1.0,112.0,71.0,6.0,2.0,6.0,1.0,16.0,10.0,8.0,2.0,2.0,0.0
2013-10-20,0.0,0.0,78.0,33.0,3.0,0.0,6.0,5.0,8.0,3.0,14.0,3.0,1.0,0.0
2013-10-27,3.0,1.0,62.0,18.0,10.0,0.0,8.0,2.0,21.0,9.0,12.0,5.0,7.0,1.0
2013-11-03,4.0,0.0,144.0,65.0,7.0,0.0,5.0,1.0,12.0,8.0,5.0,1.0,0.0,0.0
2013-11-10,4.0,1.0,111.0,55.0,9.0,5.0,6.0,3.0,2.0,0.0,5.0,0.0,1.0,1.0
2013-11-17,0.0,0.0,115.0,49.0,64.0,47.0,5.0,1.0,4.0,2.0,16.0,10.0,8.0,0.0
2013-11-24,1.0,1.0,203.0,124.0,47.0,41.0,3.0,1.0,16.0,12.0,5.0,2.0,2.0,2.0
2013-12-01,2.0,1.0,253.0,143.0,23.0,6.0,3.0,3.0,3.0,0.0,5.0,3.0,0.0,0.0
2013-12-08,8.0,2.0,193.0,88.0,19.0,4.0,2.0,0.0,6.0,1.0,6.0,1.0,1.0,0.0
2013-12-15,19.0,0.0,149.0,70.0,5.0,1.0,0.0,0.0,4.0,4.0,9.0,1.0,0.0,0.0
2013-12-22,8.0,0.0,112.0,58.0,21.0,18.0,4.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
2013-12-29,7.0,1.0,136.0,55.0,18.0,14.0,1.0,0.0,9.0,3.0,3.0,0.0,0.0,0.0
2014-01-05,30.0,1.0,129.0,48.0,10.0,6.0,1.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0
2014-01-12,15.0,0.0,74.0,26.0,5.0,4.0,3.0,0.0,6.0,3.0,12.0,5.0,0.0,0.0
2014-01-19,5.0,1.0,153.0,59.0,13.0,4.0,0.0,0.0,8.0,6.0,2.0,0.0,0.0,0.0
2014-01-26,1.0,0.0,164.0,116.0,1.0,1.0,3.0,2.0,15.0,7.0,4.0,0.0,1.0,1.0
2014-02-02,13.0,7.0,56.0,39.0,2.0,0.0,4.0,3.0,11.0,5.0,3.0,1.0,0.0,0.0
2014-02-09,11.0,0.0,48.0,14.0,12.0,5.0,3.0,0.0,2.0,0.0,5.0,1.0,0.0,0.0
2014-02-16,12.0,4.0,37.0,14.0,12.0,2.0,7.0,4.0,48.0,38.0,9.0,4.0,1.0,1.0
2014-02-23,17.0,8.0,32.0,13.0,13.0,8.0,4.0,4.0,9.0,2.0,16.0,5.0,3.0,0.0
2014-03-02,3.0,0.0,51.0,26.0,46.0,15.0,1.0,0.0,13.0,6.0,11.0,9.0,0.0,0.0
2014-03-09,19.0,4.0,47.0,31.0,46.0,31.0,3.0,2.0,8.0,6.0,6.0,0.0,0.0,0.0
2014-03-16,13.0,1.0,27.0,9.0,10.0,3.0,14.0,14.0,1.0,0.0,9.0,0.0,2.0,1.0
2014-03-23,8.0,4.0,104.0,41.0,6.0,1.0,0.0,0.0,13.0,7.0,9.0,2.0,2.0,2.0
2014-03-30,8.0,0.0,117.0,59.0,12.0,10.0,0.0,0.0,4.0,2.0,4.0,0.0,0.0,0.0
2014-04-06,4.0,0.0,56.0,21.0,7.0,3.0,2.0,0.0,8.0,5.0,15.0,6.0,0.0,0.0
2014-04-13,7.0,0.0,45.0,24.0,23.0,7.0,5.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0
2014-04-20,6.0,0.0,41.0,9.0,2.0,2.0,7.0,4.0,5.0,3.0,13.0,7.0,3.0,2.0
2014-04-27,11.0,4.0,72.0,38.0,5.0,2.0,7.0,0.0,2.0,2.0,6.0,4.0,0.0,0.0
2014-05-04,12.0,0.0,34.0,17.0,18.0,10.0,2.0,2.0,2.0,1.0,15.0,6.0,2.0,0.0
2014-05-11,5.0,1.0,36.0,17.0,7.0,0.0,6.0,5.0,3.0,0.0,11.0,1.0,1.0,0.0
2014-05-18,11.0,0.0,32.0,20.0,5.0,4.0,0.0,0.0,0.0,0.0,5.0,2.0,1.0,0.0
2014-05-25,1.0,0.0,68.0,30.0,49.0,16.0,0.0,0.0,3.0,3.0,16.0,4.0,2.0,1.0
2014-06-01,1.0,0.0,82.0,30.0,26.0,21.0,9.0,6.0,1.0,1.0,14.0,1.0,5.0,2.0
2014-06-08,7.0,0.0,46.0,22.0,16.0,6.0,2.0,0.0,4.0,1.0,24.0,13.0,0.0,0.0
2014-06-15,21.0,4.0,35.0,29.0,7.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0
2014-06-22,8.0,3.0,28.0,14.0,1.0,1.0,3.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0
2014-06-29,10.0,0.0,20.0,8.0,7.0,3.0,8.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0
2014-07-06,9.0,2.0,52.0,32.0,1.0,1.0,2.0,1.0,0.0,0.0,2.0,2.0,4.0,0.0
2014-07-13,2.0,0.0,6.0,6.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,3.0,0.0
2014-07-20,1.0,0.0,3.0,3.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0
2014-07-27,3.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0
2014-08-03,0.0,0.0,3.0,1.0,8.0,3.0,4.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0
2014-08-10,3.0,0.0,7.0,4.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-08-17,0.0,0.0,54.0,34.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-08-24,3.0,1.0,3.0,2.0,4.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
2014-08-31,0.0,0.0,4.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0
2014-09-07,8.0,5.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0
2014-09-14,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-09-21,5.0,2.0,10.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0
2014-09-28,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
2014-10-05,3.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,12.0,2.0,2.0,0.0
2014-10-12,2.0,0.0,18.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0
2014-10-19,1.0,0.0,16.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0
2014-10-26,1.0,1.0,6.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-11-02,2.0,0.0,18.0,10.0,5.0,0.0,1.0,1.0,2.0,1.0,7.0,0.0,1.0,0.0
2014-11-09,4.0,0.0,24.0,10.0,8.0,0.0,4.0,3.0,4.0,0.0,1.0,0.0,2.0,0.0
2014-11-16,0.0,0.0,12.0,5.0,9.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0
2014-11-23,1.0,0.0,32.0,16.0,1.0,1.0,1.0,0.0,21.0,9.0,4.0,1.0,0.0,0.0
2014-11-30,2.0,0.0,179.0,145.0,2.0,0.0,2.0,2.0,6.0,3.0,1.0,0.0,3.0,0.0
2014-12-07,1.0,0.0,35.0,25.0,4.0,0.0,6.0,0.0,6.0,2.0,5.0,0.0,0.0,0.0
2014-12-14,0.0,0.0,14.0,9.0,3.0,0.0,3.0,1.0,9.0,6.0,4.0,0.0,1.0,0.0
2014-12-21,5.0,1.0,6.0,4.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0
2014-12-28,0.0,0.0,4.0,1.0,1.0,0.0,6.0,6.0,8.0,8.0,3.0,1.0,0.0,0.0
2015-01-04,3.0,1.0,8.0,3.0,6.0,2.0,2.0,1.0,42.0,30.0,12.0,3.0,0.0,0.0
2015-01-11,3.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,22.0,12.0,1.0,0.0,0.0,0.0
2015-01-18,9.0,2.0,10.0,3.0,1.0,1.0,6.0,5.0,10.0,6.0,2.0,0.0,1.0,0.0
2015-01-25,3.0,2.0,85.0,61.0,1.0,1.0,1.0,1.0,8.0,5.0,2.0,0.0,5.0,4.0
2015-02-01,1.0,0.0,88.0,60.0,3.0,0.0,10.0,5.0,2.0,2.0,1.0,0.0,2.0,1.0
2015-02-08,5.0,1.0,34.0,24.0,1.0,1.0,31.0,24.0,4.0,3.0,1.0,0.0,0.0,0.0
2015-02-15,10.0,5.0,18.0,11.0,5.0,0.0,3.0,2.0,25.0,13.0,3.0,0.0,0.0,0.0
2015-02-22,2.0,1.0,12.0,11.0,3.0,0.0,1.0,1.0,6.0,4.0,8.0,1.0,0.0,0.0
2015-03-01,11.0,3.0,17.0,7.0,11.0,7.0,2.0,2.0,7.0,4.0,2.0,0.0,0.0,0.0
2015-03-08,4.0,0.0,13.0,3.0,8.0,1.0,4.0,3.0,1.0,0.0,3.0,3.0,0.0,0.0
2015-03-15,7.0,1.0,2.0,1.0,1.0,1.0,4.0,2.0,4.0,4.0,7.0,4.0,0.0,0.0
2015-03-22,5.0,0.0,14.0,9.0,4.0,4.0,3.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0
